Date,Open,High,Low,Close,Volume,Daily Return (%),Trading Range,Log Return,Volume × Price
2018-10-30 00:00:00+00:00,1.00643003,1.010859966,1.003010035,1.004680037,715882,-37%,0.007849931,-0.003666088,719232.3542
2018-10-31 00:00:00+00:00,1.00672996,1.008730054,0.994032979,0.996385992,1279360,-83%,0.014697075,-0.008289674,1274736.383
2018-11-01 00:00:00+00:00,0.996412992,1.018399954,0.991167009,0.992501974,1800480,-39%,0.027232945,-0.003905723,1786979.954
2018-11-02 00:00:00+00:00,0.992896974,1.00801003,0.988213003,0.999969006,2042390,75%,0.019797027,0.007495283,2042326.698
2018-11-03 00:00:00+00:00,1.000280023,1.008299947,0.997810006,1.003790021,1402480,38%,0.010489941,0.003813851,1407795.429
2018-11-04 00:00:00+00:00,1.004009962,1.008090019,0.982746005,0.997668982,2144200,-61%,0.025344014,-0.006116596,2139201.831
2018-11-05 00:00:00+00:00,0.996996999,1.007449985,0.996702015,0.998748004,1287400,11%,0.01074797,0.001080959,1285788.18
2018-11-06 00:00:00+00:00,1.002490044,1.005059958,0.997110009,1.000519991,2241070,18%,0.007949949,0.001772636,2242235.336
2018-11-07 00:00:00+00:00,1.001440048,1.011610031,0.997180998,1.004299998,2589880,38%,0.014429033,0.003770924,2601016.479
2018-11-08 00:00:00+00:00,1.003829956,1.007210016,0.99862498,1.00383997,3423190,-5%,0.008585036,-0.000458163,3436334.947
2018-11-09 00:00:00+00:00,1.004070044,1.013610005,1.001940012,1.008039951,3478250,42%,0.011669993,0.004175187,3506214.96
2018-11-10 00:00:00+00:00,1.00711,1.029729962,0.99585402,1.010959983,2497760,29%,0.033875942,0.002892555,2525135.407
2018-11-11 00:00:00+00:00,1.012639999,1.019930005,0.996740997,1.009009957,4726130,-19%,0.023189008,-0.001930748,4768712.228
2018-11-12 00:00:00+00:00,1.008559942,1.015140057,1.00059998,1.013200045,6446540,42%,0.014540077,0.004144074,6531634.618
2018-11-13 00:00:00+00:00,1.008260012,1.022230029,0.999477029,1.012820005,6483310,-4%,0.022753,-0.000375159,6566426.067
2018-11-14 00:00:00+00:00,1.017629981,1.043339968,0.999077022,1.023069978,24013300,101%,0.044262946,0.010069365,24567286.3
2018-11-15 00:00:00+00:00,1.020670056,1.061390042,1.007850051,1.018309951,18776600,-47%,0.053539991,-0.004663547,19120398.63
2018-11-16 00:00:00+00:00,1.017120004,1.039409995,1.006180048,1.03026998,9247040,117%,0.033229947,0.011676542,9526947.716
2018-11-17 00:00:00+00:00,1.033439994,1.039330006,1.006160021,1.009119987,5537380,-205%,0.033169985,-0.020742233,5587880.834
2018-11-18 00:00:00+00:00,1.009619951,1.01462996,1.001180053,1.01188004,5735460,27%,0.013449907,0.002731375,5803597.494
2018-11-19 00:00:00+00:00,1.012030005,1.052170038,1.001309991,1.020190001,27873100,82%,0.050860047,0.008178859,28435857.92
2018-11-20 00:00:00+00:00,1.015879989,1.056699991,1.00722003,1.019950032,43293600,-2%,0.049479961,-0.000235248,44157308.71
2018-11-21 00:00:00+00:00,1.024119973,1.032050014,1.008919954,1.014410019,20164000,-54%,0.02313006,-0.005446456,20454563.62
2018-11-22 00:00:00+00:00,1.012850046,1.02256,1.006160021,1.01947999,11556600,50%,0.016399979,0.004985502,11781722.45
2018-11-23 00:00:00+00:00,1.016129971,1.027830005,1.008329988,1.020609975,17717500,11%,0.019500017,0.00110778,18082657.23
2018-11-24 00:00:00+00:00,1.017179966,1.039690018,1.011049986,1.022959948,19409700,23%,0.028640032,0.002299871,19855345.7
2018-11-25 00:00:00+00:00,1.026870012,1.040130019,0.990265012,1.025959969,23476200,29%,0.049865007,0.002928395,24085641.42
2018-11-26 00:00:00+00:00,1.018309951,1.058809996,1.015509963,1.037410021,29734800,112%,0.043300033,0.011098513,30847179.49
2018-11-27 00:00:00+00:00,1.032420039,1.037999988,0.995527983,1.012099981,13622700,-244%,0.042472005,-0.024699881,13787534.41
2018-11-28 00:00:00+00:00,1.008710027,1.025850058,1.003720045,1.011639953,23327400,-5%,0.022130013,-0.000454632,23598929.84
2018-11-29 00:00:00+00:00,1.011675954,1.020604014,1.003919959,1.014597058,18025473,29%,0.016684055,0.002918817,18288591.87
2018-11-30 00:00:00+00:00,1.013566971,1.020449042,1.00406599,1.010396957,14143221,-41%,0.016383052,-0.004148266,14290267.46
2018-12-01 00:00:00+00:00,1.012817979,1.025342941,1.000193954,1.00819695,14198649,-22%,0.025148987,-0.002179743,14315034.62
2018-12-02 00:00:00+00:00,1.008255005,1.031792045,0.993287027,1.01277101,10761895,45%,0.038505018,0.004526611,10899335.27
2018-12-03 00:00:00+00:00,1.011119008,1.016582966,1.000216007,1.009749055,12188098,-30%,0.016366959,-0.002988309,12306920.44
2018-12-04 00:00:00+00:00,1.009027958,1.01642704,1.003540039,1.012794971,12556999,30%,0.012887001,0.003011967,12717665.44
2018-12-05 00:00:00+00:00,1.011455059,1.01859796,1.004891992,1.013633013,14257800,8%,0.013705968,0.000827113,14452176.77
2018-12-06 00:00:00+00:00,1.010985017,1.02166903,1.002132058,1.018265963,21637768,46%,0.019536972,0.004560225,22033002.67
2018-12-07 00:00:00+00:00,1.017930984,1.025060058,1.002380967,1.011307955,29947363,-68%,0.022679091,-0.006856646,30286006.43
2018-12-08 00:00:00+00:00,1.011297941,1.02757597,1.006569982,1.022182941,17724714,108%,0.021005988,0.010695981,18117900.28
2018-12-09 00:00:00+00:00,1.018798947,1.032773972,1.013916969,1.018252969,14831259,-38%,0.018857003,-0.003852095,15101973.51
2018-12-10 00:00:00+00:00,1.018170953,1.029119968,1.014796019,1.024693012,12987868,63%,0.014323949,0.006304684,13308577.58
2018-12-11 00:00:00+00:00,1.02523303,1.037340999,1.017228961,1.020336032,12104531,-43%,0.020112038,-0.004261051,12350689.13
2018-12-12 00:00:00+00:00,1.021955967,1.042865038,0.989759982,1.022770047,10392693,24%,0.053105056,0.002382663,10629335.11
2018-12-13 00:00:00+00:00,1.036771059,1.036771059,0.98298502,1.01591301,8569160,-67%,0.053786039,-0.006726953,8705521.129
2018-12-14 00:00:00+00:00,1.015233994,1.028429985,1.012029052,1.017292023,11571584,14%,0.016400933,0.001356492,11771680.1
2018-12-15 00:00:00+00:00,1.01839304,1.021464944,0.995121002,0.997940004,8595919,-190%,0.026343942,-0.019206338,8578211.441
2018-12-16 00:00:00+00:00,1.00484097,1.041059971,0.998009026,1.011960983,9383751,140%,0.043050945,0.013952136,9495989.886
2018-12-17 00:00:00+00:00,1.027451992,1.033969045,0.998067975,1.014232993,18392475,22%,0.03590107,0.002242639,18654254.97
2018-12-18 00:00:00+00:00,1.014194965,1.020584941,1.000012994,1.009853959,24572396,-43%,0.020571947,-0.00432693,24814531.38
2018-12-19 00:00:00+00:00,1.009052992,1.020859957,1.002078056,1.019230008,46352135,93%,0.018781901,0.009241723,47243486.93
2018-12-20 00:00:00+00:00,1.021234989,1.024417996,1.006773949,1.015118957,58976758,-40%,0.017644047,-0.004041643,59868425.07
2018-12-21 00:00:00+00:00,1.016415954,1.024196982,1.006100059,1.015426993,46603504,3%,0.018096923,0.000303402,47322455.93
2018-12-22 00:00:00+00:00,1.012441993,1.019031048,0.997087002,1.010668039,26222950,-47%,0.021944046,-0.00469767,26502697.45
2018-12-23 00:00:00+00:00,1.008020997,1.017750978,1.005426049,1.010718942,23629168,1%,0.012324929,5.03644E-05,23882447.68
2018-12-24 00:00:00+00:00,1.010748982,1.021427989,0.998427987,1.01157105,43621601,8%,0.023000002,0.000842716,44126348.73
2018-12-25 00:00:00+00:00,1.010195017,1.028385043,1.008046031,1.011736989,27610569,2%,0.020339012,0.000164027,27934633.94
2018-12-26 00:00:00+00:00,1.013208985,1.021890044,1.006778955,1.013623953,19786403,19%,0.015111089,0.001863337,20055972.02
2018-12-27 00:00:00+00:00,1.015598059,1.033882022,1.011579037,1.017480016,23019282,38%,0.022302985,0.003797016,23421659.42
2018-12-28 00:00:00+00:00,1.017390013,1.018527031,0.978582978,1.011209965,28974098,-62%,0.039944053,-0.006181399,29298896.62
2018-12-29 00:00:00+00:00,1.01088202,1.04025805,1.002529025,1.021664977,22783697,103%,0.037729025,0.010286028,23277305.27
2018-12-30 00:00:00+00:00,1.019605041,1.025472999,1.009649992,1.01316905,18537225,-83%,0.015823007,-0.008350535,18781342.64
2018-12-31 00:00:00+00:00,1.012398005,1.025764942,1.00523603,1.016564965,20975704,34%,0.020528912,0.003346171,21323165.8
2019-01-01 00:00:00+00:00,1.018946052,1.022230029,1.008677006,1.013301015,17007853,-32%,0.013553023,-0.003215929,17234074.71
2019-01-02 00:00:00+00:00,1.014261961,1.02026403,1.009168029,1.018172979,18125812,48%,0.011096001,0.004796491,18455212
2019-01-03 00:00:00+00:00,1.014457941,1.022562027,1.009953976,1.013576984,15279811,-45%,0.012608051,-0.004524182,15487264.75
2019-01-04 00:00:00+00:00,1.015246987,1.017634988,1.001057982,1.008159995,17203036,-53%,0.016577006,-0.00535876,17343412.69
